id_pompe,type,debut,fin
1200004,T,2009-02-01T00:00:00,
1640001,D,2023-02-16T00:00:00,
2100001,T,2023-02-13T00:00:00,2023-02-13T09:11:07
2100001,T,2023-02-13T00:00:00,2023-02-20T09:43:06
2100014,T,2009-02-01T00:00:00,
2190006,D,2023-01-12T00:00:00,
2320001,T,2022-07-23T00:00:00,2023-02-17T20:12:03
2320001,T,2023-02-17T00:00:00,2023-12-31T00:00:00
5240001,D,2023-01-12T00:00:00,
6000012,T,2009-02-01T00:00:00,
6150006,T,2014-11-27T00:00:00,2023-02-24T00:00:00
6190010,T,2022-02-04T00:00:00,2023-02-24T00:00:00
6190010,D,2023-02-24T00:00:00,
6190012,D,2023-02-24T00:00:00,
6210001,D,2023-02-24T00:00:00,
6210001,T,2009-12-15T00:00:00,2023-02-24T00:00:00
6380001,D,2023-02-24T00:00:00,
6380001,T,2018-09-28T00:00:00,2023-02-24T00:00:00
6460001,T,2018-09-26T00:00:00,2023-02-24T00:00:00
6460001,D,2023-02-24T00:00:00,
6500011,D,2023-01-23T00:00:00,
6540001,D,2023-02-24T00:00:00,
6540001,T,2021-09-22T00:00:00,2023-02-24T00:00:00
6580001,T,2023-02-08T00:00:00,2023-04-20T00:00:00
6610004,D,2023-01-23T00:00:00,
6800014,T,2015-11-25T00:00:00,2023-02-24T00:00:00
6800014,D,2023-02-24T00:00:00,
8700002,T,2009-02-01T00:00:00,
10000009,T,2009-02-01T00:00:00,
10150003,T,2021-09-01T00:00:00,2023-02-20T00:00:00
10800004,T,2009-02-01T00:00:00,
13005005,T,2009-02-01T00:00:00,
13120003,T,2023-02-13T00:00:00,2023-04-24T00:00:00
13170012,D,2023-01-11T00:00:00,
14400005,T,2017-12-31T00:00:00,
14980006,T,2022-01-20T00:00:00,2027-01-01T00:00:00
16300002,D,2023-02-20T00:00:00,
16710002,T,2010-06-02T00:00:00,2023-02-03T00:00:00
16710002,D,2023-02-03T00:00:00,
17230001,T,2009-07-02T00:00:00,
17540001,T,2022-12-23T00:00:00,2023-01-02T08:59:04
19600002,D,2023-03-06T00:00:00,
19800002,D,2023-02-07T00:00:00,
21000028,D,2023-02-03T00:00:00,
21130003,T,2021-10-07T00:00:00,
21250002,T,2022-12-24T00:00:00,2023-01-02T00:00:00
21850001,T,2009-02-01T00:00:00,
22140001,D,2023-01-12T00:00:00,
23130001,D,2023-02-22T00:00:00,
24100004,T,2020-12-30T00:00:00,2023-02-09T00:00:00
24100004,D,2023-02-09T00:00:00,
24100004,T,2020-12-09T00:00:00,2023-02-09T00:00:00
24100005,T,2020-02-21T00:00:00,2023-02-09T00:00:00
24100005,D,2023-02-09T00:00:00,
24100017,D,2023-02-09T00:00:00,
24150002,D,2023-02-13T00:00:00,
24240001,D,2023-01-11T00:00:00,
24320003,T,2013-02-05T00:00:00,2023-02-09T00:00:00
24320003,D,2023-02-09T00:00:00,
25410003,T,2010-07-26T00:00:00,2023-02-03T00:00:00
25410003,D,2023-02-03T00:00:00,
26270008,D,2023-01-25T00:00:00,
26780005,D,2023-02-20T00:00:00,
27200004,D,2023-03-06T00:00:00,
27300003,D,2023-01-26T00:00:00,
27310007,D,2023-01-26T00:00:00,
27670003,D,2023-02-13T00:00:00,
27670003,T,2021-02-08T00:00:00,2023-02-13T00:00:00
27930008,T,2023-02-16T00:00:00,2023-02-22T15:47:54
28403001,D,2023-02-09T00:00:00,
29400002,T,2020-04-21T00:00:00,2023-03-07T00:00:00
29400002,D,2023-03-07T00:00:00,
29430001,D,2023-03-07T00:00:00,
29430001,T,2019-03-22T00:00:00,2023-03-07T00:00:00
30000019,T,2023-03-01T00:00:00,2023-03-04T07:03:46
30340005,D,2023-01-12T00:00:00,
31300008,T,2023-01-03T00:00:00,2023-09-11T00:00:00
31500010,T,2010-10-27T00:00:00,
32000007,T,2009-02-01T00:00:00,
32800001,D,2023-03-02T00:00:00,2023-03-06T16:06:29
33600011,T,2023-02-16T00:00:00,2023-03-31T00:00:00
34070011,T,2009-02-01T00:00:00,
35580002,D,2023-02-28T00:00:00,
35580002,T,2022-03-10T00:00:00,2023-02-28T00:00:00
37130003,D,2023-02-15T00:00:00,
37130003,T,2022-02-09T00:00:00,2023-02-15T00:00:00
37400007,D,2023-01-17T00:00:00,
38150010,T,2023-01-30T00:00:00,2023-02-06T11:12:22
38170002,T,2017-08-04T00:00:00,
38200009,T,2009-02-01T00:00:00,
38290006,T,2023-02-13T00:00:00,2023-03-29T00:00:00
38500007,T,2023-02-06T00:00:00,2023-02-08T16:58:22
38520003,T,2017-07-26T00:00:00,2023-02-22T00:00:00
38520003,D,2023-02-22T00:00:00,
39300002,T,2014-12-16T00:00:00,
40240001,T,2013-02-18T00:00:00,
42100010,T,2013-04-25T00:00:00,
42110007,D,2023-01-04T00:00:00,
44290002,T,2023-03-02T00:00:00,2023-04-03T00:00:00
45300002,D,2023-02-16T00:00:00,
45300002,T,2010-10-26T00:00:00,2023-02-16T00:00:00
45460003,D,2023-02-23T00:00:00,
45460003,T,2012-11-02T00:00:00,2023-02-23T00:00:00
46100004,D,2023-02-20T00:00:00,
46110004,T,2023-02-20T00:00:00,
46300010,T,2023-03-07T00:00:00,2023-05-30T00:00:00
47550008,D,2023-02-01T00:00:00,
47550010,D,2023-02-08T00:00:00,
49070010,D,2023-01-25T00:00:00,
