nom_operateur,nom_enseigne,nom_station,implantation_station,adresse_station,code_insee_commune,nbre_pdc,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,horaires,accessibilite_pmr,date_mise_en_service,date_maj,last_modified,lon,lat,prix_kWh,prix_session,code_departement,nom_departement,region
Izivia,GRAND NANCY,CD54 - VILLE DE TOUL,Voirie,AIRE DE COVOITURAGE - D960,,2,50.0,False,True,False,False,False,False,True,False,True,24/7,Accessibilité inconnue,2021-07-07,2023-02-27,2023-02-27T01:50:23Z,5.871263,48.651079,,,,,
Izivia,GRAND NANCY,CD54 - VILLE DE TOUL,Voirie,AIRE DE COVOITURAGE - D960,,2,50.0,False,False,True,True,False,False,True,False,True,24/7,Accessibilité inconnue,2021-07-07,2023-02-27,2023-02-27T01:50:23Z,5.871263,48.651079,,,,,
Izivia,BP EG,AIRE DE CHANGIS SUR MARNE,Voirie,"AIRE DE CHANGIS, AUTOROUTE DE LEST",,1,54.0,False,True,True,True,False,False,True,False,True,24/7,Accessibilité inconnue,2021-04-07,2023-02-27,2023-02-27T01:50:22Z,3.053665,48.964268,,,,,
Izivia,BP EG,AIRE DE VIRONVAY SUD,Voirie,A13,,1,50.0,False,True,True,True,False,False,True,False,True,24/7,Accessibilité inconnue,2016-04-05,2023-02-27,2023-02-27T01:50:22Z,1.217755,49.212071,,,,,
Izivia,AVIA TD,AIRE DE VAL DE MEUSE,Voirie,AUTOROUTE A31,,1,54.0,False,True,True,True,False,False,True,False,True,24/7,Accessibilité inconnue,2021-03-30,2023-02-27,2023-02-27T01:50:19Z,5.498871,47.975185,,,,,
Izivia,AVIA TD,AIRE DE MONTIGNY LE ROI,Voirie,AUTOROUTE A31,,1,54.0,False,True,True,True,False,False,True,False,True,24/7,Accessibilité inconnue,2021-03-31,2023-02-27,2023-02-27T01:50:19Z,5.497206,47.977395,,,,,
Izivia,OUEST CHARGE - 22,PLOEUC   L HERMITAGE-RUE DE BEAULIEU PARKING ARRIERE EGLISE,Voirie,RUE BEAULIEU,,2,22.0,True,True,False,False,False,False,True,False,True,24/7,Accessibilité inconnue,2017-05-03,2023-02-27,2023-02-27T01:50:16Z,-2.75524,48.34719,0.22,0.6,,,
Izivia,OUEST CHARGE - 22,PLOEUC   L HERMITAGE-RUE DE BEAULIEU PARKING ARRIERE EGLISE,Voirie,RUE BEAULIEU,,2,22.0,True,True,False,False,False,False,True,False,True,24/7,Accessibilité inconnue,2017-05-03,2023-02-27,2023-02-27T01:50:16Z,-2.75524,48.34719,0.22,0.6,,,
,WIIIZ,SAINT-MARTIN-DENTRAUNES - PARKING VILLAGE,Voirie,D2202,,2,22.0,True,True,False,False,False,False,True,False,True,24/7,Accessibilité inconnue,2022-10-06,2023-02-27,2023-02-27T01:50:16Z,6.761461,44.142858,0.1363636363636363,,,,
Izivia,WIIIZ,GUILLAUMES - PARKING PLACE DES COMBATTANTS,Voirie,PLACE DES COMBATTANTS,,2,22.0,True,True,False,False,False,False,True,False,True,24/7,Accessibilité inconnue,2022-08-17,2023-02-27,2023-02-27T01:50:16Z,6.829526,43.999862,0.1363636363636363,,,,
Izivia,WIIIZ,GUILLAUMES - PARKING PLACE DES COMBATTANTS,Voirie,PLACE DES COMBATTANTS,,2,22.0,True,True,False,False,False,False,True,False,True,24/7,Accessibilité inconnue,2022-08-17,2023-02-27,2023-02-27T01:50:16Z,6.829526,43.999862,0.1363636363636363,,,,
,WIIIZ,SAINT-MARTIN-DENTRAUNES - PARKING VILLAGE,Voirie,D2202,,2,22.0,True,True,False,False,False,False,True,False,True,24/7,Accessibilité inconnue,2022-10-06,2023-02-27,2023-02-27T01:50:16Z,6.761461,44.142858,0.1363636363636363,,,,
,MOBIVE - FDEE 19,CLERGOUX - DOMAINE DE SEDIERES,Voirie,ALLÉE DU DOM. DE SÉDIÈRES,,2,22.0,True,True,False,False,False,False,True,False,True,24/7,Accessibilité inconnue,2023-02-01,2023-02-27,2023-02-27T01:50:15Z,1.950778,45.291775,0.27,,,,
,MOBIVE - FDEE 19,CLERGOUX - DOMAINE DE SEDIERES,Voirie,ALLÉE DU DOM. DE SÉDIÈRES,,2,22.0,True,True,False,False,False,False,True,False,True,24/7,Accessibilité inconnue,2023-02-01,2023-02-27,2023-02-27T01:50:15Z,1.950778,45.291775,0.27,,,,
