,ope,consolidated_longitude,prix_kWh
0,Izivia,-1.146988,
1,Izivia,-1.193047,
2,Izivia,-1.146988,
3,Izivia,-1.146988,
4,Izivia,-1.146988,
5,Izivia,-1.146988,
6,Izivia,-1.165259,
7,Izivia,-1.165259,
8,Izivia,-1.165259,
9,Izivia,-1.165259,
10,Izivia,-1.165259,
11,Izivia,-1.193047,
12,Izivia,-1.193047,
13,Izivia,-1.193047,
14,Izivia,-1.201663,
15,Izivia,-1.201663,
16,Izivia,-1.201663,
17,Izivia,-1.201663,
18,Izivia,-1.201663,
19,Izivia,-1.193047,
20,Izivia,2.255774,
21,Izivia,2.255774,
22,Izivia,2.255774,
23,Izivia,2.255774,
24,Izivia,2.255774,
25,Izivia,2.257169,
26,Izivia,2.255774,
27,Izivia,2.257169,
28,Izivia,2.257169,
29,Izivia,2.239232,
30,Izivia,2.255774,
31,Izivia,2.239232,
32,Izivia,2.239232,
33,Izivia,2.239232,
34,Izivia,2.239232,
35,Izivia,2.239232,
36,Izivia,2.231137,
37,Izivia,2.231137,
38,Izivia,2.231137,
39,Izivia,2.231137,
40,Izivia,2.231137,
41,Izivia,2.257169,
42,Izivia,2.257169,
43,Izivia,2.249567,
44,Izivia,2.237217,
45,Izivia,2.249567,
46,Izivia,2.237217,
47,Izivia,2.249567,
48,Izivia,2.249567,
49,Izivia,2.249567,
50,Izivia,2.249567,
51,Izivia,2.237217,
52,Izivia,2.237217,
53,Izivia,2.237217,
54,Izivia,2.237217,
55,Izivia,2.231137,
56,Izivia,2.365344,
57,Izivia,2.365344,
58,Izivia,2.365344,
59,Izivia,2.365344,
60,Izivia,4.888315,
61,Izivia,4.888315,
62,Izivia,4.888315,
63,Izivia,4.888315,
64,Izivia,6.439919,
65,Izivia,6.5098,
66,Izivia,6.550392,
67,Izivia,6.439919,
68,Izivia,6.815633,
69,Izivia,6.50647,
70,Izivia,6.622318,
71,Izivia,6.622318,
72,Izivia,6.673311,
73,Izivia,6.673311,
74,Izivia,6.604733,
75,Izivia,6.604733,
76,Izivia,6.461325,
77,Izivia,6.461325,
78,Izivia,6.529611,
79,Izivia,6.529611,
80,Izivia,6.774703,
81,Izivia,6.774703,
82,Izivia,6.815633,
83,Izivia,6.499564,
84,Izivia,6.813043,
85,Izivia,6.813043,
86,Izivia,6.79138,
87,Izivia,6.79138,
88,Izivia,6.4859,
89,Izivia,6.550392,
90,Izivia,6.632634,
91,Izivia,6.632634,
92,Izivia,6.541528,
93,Izivia,6.541528,
94,Izivia,6.650546,
95,Izivia,6.650546,
96,Izivia,6.499564,
97,Izivia,6.5098,
98,Izivia,6.529493,
99,Izivia,6.4859,
100,Izivia,6.489047,
101,Izivia,6.503267,
102,Izivia,6.503267,
103,Izivia,6.489549,
104,Izivia,6.489549,
105,Izivia,6.495991,
106,Izivia,6.495991,
107,Izivia,6.489047,
108,Izivia,6.3871,
109,Izivia,6.497805,
110,Izivia,6.497805,
111,Izivia,6.468064,
112,Izivia,6.468064,
113,Izivia,6.188514,
114,Izivia,6.188514,
115,Izivia,6.500003,
116,Izivia,6.500003,
117,Izivia,6.694515,
118,Izivia,6.694515,
119,Izivia,6.739727,
120,Izivia,6.739727,
121,Izivia,6.607995,
122,Izivia,6.607995,
123,Izivia,6.739262,
124,Izivia,6.8437,
125,Izivia,6.8437,
126,Izivia,6.4086,
127,Izivia,6.4086,
128,Izivia,6.946,
129,Izivia,6.946,
130,Izivia,6.3871,
131,Izivia,6.451822,
132,Izivia,6.50647,
133,Izivia,6.691154,
134,Izivia,6.451822,
135,Izivia,6.113954,
136,Izivia,6.145511,
137,Izivia,5.908144,
138,Izivia,5.908144,
139,Izivia,5.871263,
140,Izivia,5.871263,
141,Izivia,6.113954,
142,Izivia,6.113954,
143,Izivia,6.732776,
144,Izivia,6.113954,
145,Izivia,5.891198,
146,Izivia,5.891198,
147,Izivia,5.897909,
148,Izivia,5.897909,
149,Izivia,6.651412,
150,Izivia,6.145511,
151,Izivia,6.322902,
152,Izivia,6.322902,
153,Izivia,6.322902,
154,Izivia,6.322902,
155,Izivia,6.167017,
156,Izivia,6.167017,
157,Izivia,6.500923,
158,Izivia,6.500923,
159,Izivia,6.601472,
160,Izivia,6.601472,
161,Autre,6.235897,
162,Autre,6.235897,
